time_period,expected_demand,minimum_active_capacity
2024-01-01 00:00:00,820,943.0
2024-01-01 01:00:00,790,908.5
2024-01-01 02:00:00,810,931.5
2024-01-01 03:00:00,800,920.0
2024-01-01 04:00:00,830,954.5
2024-01-01 05:00:00,870,1000.5
2024-01-01 06:00:00,1050,1207.5
2024-01-01 07:00:00,1380,1587.0
2024-01-01 08:00:00,1575,1811.25
2024-01-01 09:00:00,1420,1633.0
2024-01-01 10:00:00,1350,1552.5
2024-01-01 11:00:00,1380,1587.0
2024-01-01 12:00:00,1520,1748.0
2024-01-01 13:00:00,1480,1702.0
2024-01-01 14:00:00,1400,1610.0
2024-01-01 15:00:00,1620,1863.0
2024-01-01 16:00:00,1850,2127.5
2024-01-01 17:00:00,2050,2357.5
2024-01-01 18:00:00,2100,2415.0
2024-01-01 19:00:00,1980,2277.0
2024-01-01 20:00:00,1750,2012.5
2024-01-01 21:00:00,1550,1782.5
2024-01-01 22:00:00,1350,1552.5
2024-01-01 23:00:00,1100,1265.0
